Vernier Format 2
Untitled.cmbl 5/18/16 21:09 .
Latest
Wavelength	Intensity
λ	I
nm	rel

381.393353051	0.001
381.603326988	0.001
381.813289269	0.001
382.023239891	0.001
382.23317885	0.0010455942124
382.443106145	0.00113443902324
382.653021771	0.00101548733297
382.862925726	0.00102794331642
383.072818008	0.0011791270776
383.282698613	0.00117222020526
383.492567538	0.00117682478682
383.70242478	0.00117682478682
383.912270337	0.0011121835457
384.122104206	0.0011121835457
384.331926384	0.00122269350311
384.541736867	0.00121023751967
384.751535654	0.00121023751967
384.96132274	0.00137310983403
385.171098124	0.00135852865909
385.380861802	0.00142682995221
385.590613772	0.00147960554085
385.800354029	0.00150493073942
386.010082573	0.00143586201604
386.219799399	0.0015548137063
386.429504505	0.00164613790722
386.639197888	0.00152258163539
386.848879545	0.00143355972526
387.058549473	0.00149265185526
387.268207669	0.00174419188118
387.47785413	0.00158379895689
387.687488854	0.00150705593091
387.897111838	0.00156077604909
388.106723078	0.00158976129967
388.316322571	0.00168740204195
388.525910316	0.0017418895904
388.735486308	0.00163137963299
388.945050546	0.00163137963299
389.154603025	0.00173575014832
389.364143744	0.00156691549117
389.573672699	0.00156691549117
389.783189888	0.00139884826428
389.992695307	0.00137045334467
390.202188953	0.001259175957
390.411670825	0.0012630131083
390.621140918	0.00120161868752
390.83059923	0.0011847352218
391.040045759	0.00125380394518
391.2494805	0.00137736021701
391.458903452	0.00135203501843
391.668314611	0.00108803900907
391.877713974	0.001
392.087101539	0.001
392.296477303	0.00106979778213
392.505841262	0.00117357796649
392.715193414	0.00112676472064
392.924533757	0.0010722771722
393.133862286	0.00112829958116
393.343178999	0.00113733164499
393.552483894	0.00103296112966
393.761776967	0.00103296112966
393.971058215	0.00109742527148
394.180327637	0.00109742527148
394.389585227	0.00106537029986
394.598830985	0.00116206651259
394.808064906	0.00118815914142
395.017286989	0.00128332049363
395.226497229	0.00122039121233
395.435695625	0.00123113523597
395.644882173	0.00127487876078
395.85405687	0.00134164519338
396.063219714	0.00140073732338
396.272370701	0.00146750375598
396.48150983	0.00159702237059
396.690637096	0.00151413990254
396.899752496	0.00144890833046
397.108856029	0.00139672307279
397.317947691	0.00151030275124
397.527027479	0.00150646559994
397.736095391	0.00160487377248
397.945151422	0.00175375524288
398.154195572	0.00175375524288
398.363227836	0.0018028707795
398.572248211	0.00182111200645
398.781256696	0.00190842195677
398.990253286	0.00186621329248
399.19923798	0.00173728500884
399.408210773	0.00152547425714
399.617171664	0.0016045195739
399.826120649	0.00149631190727
400.035057726	0.00141266200896
400.243982891	0.00137505792623
400.452896142	0.00134359328558
400.661797475	0.00133898870402
400.870686888	0.00130982635415
401.079564378	0.00130215205155
401.288429943	0.00129217545817
401.497283578	0.00132670981986
401.706125282	0.00133898870402
401.914955051	0.00138426708934
402.123772882	0.00127682685298
402.332578773	0.00143798720753
402.541372721	0.00149324218623
402.750154722	0.00137966250778
402.958924775	0.00136142128084
403.167682875	0.00126242277733
403.37642902	0.00124553931162
403.585163208	0.00124725127143
403.793885434	0.00129252965675
404.002595697	0.00139536531156
404.211293994	0.00154885136352
404.419980321	0.00159950176066
404.628654676	0.00153657247936
404.837317055	0.00171768602067
405.045967457	0.0018849858173
